Rank,Handle,Codeforces_Handle,Codeforces_Rating,GFG_Handle,GFG_Contest_Score,GFG_Practice_Score,Leetcode_Handle,Leetcode_Rating,Codechef_Handle,Codechef_Rating,HackerRank_Handle,HackerRank_Practice_Score,Percentile
1,21r01a0561,cmrit25__21r01a0561,822,21r01a0561,504,113,21r01a0561,1521,pavanvasam577,1421,21r01a0561,165,66.64%
2,21r01a0513,cmrit_21r01a0513,893,21r01a0513,463,151,21r01a0513,1529,vishwatej4,1434,21r01a0513,117,66.46%
3,21r01a66e5,cmrit25_21r01a66e5,878,21r01a66e5,317,164,21r01a66e5,1452,deepak216,1394,21r01a66e5,790,64.25%
4,21r01a67f2,cmrit25_21r01a67f2,896,21r01a67f2,351,0,21r01a67f2,1580,sribro123,1427,21r01a67f2,571,61.51%
5,21r01a0520,21r01a0520,593,21r01a0520,550,14,21r01a0520,1671,premsai20,1370,21r01a0520,15,61.10%
6,21r01a66e0,cmrit25_21r01a66e0,849,21r01a66e0,257,263,21r01a66e0,1242,prashanth50,1125,21r01a66e0,714,59.06%
7,21r01a7362,cmrit25_21r01a7362,554,21r01a7362,405,385,narayansharma09,1229,narayansharma,1478,21r01a7362,5,59.05%
8,21r01a05c0,cmrit25_21r01a05c0,971,21r01a05c0,319,107,21r01a05c0,1404,tanirukavyasri,1305,21r01a05c0,204,58.55%
9,21r01a05r3,cmrit25_21r01a05r3,1036,21r01a05r3,273,33,21r01a05r3,1484,bhanuprakash75,1416,21r01a05r3,378,58.51%
10,21r01a66h1,cmrit25_21r01a66h1,1115,moturiadithyasai,216,39,cmr_21r01a66h1,1455,adithya_09,1375,21r01a66h1,231,55.38%
11,21r01a7238,cmrit25_21r01a7238,1021,kjcreddy666,62,17,kjcreddy666,1455,jai_21r01a7238,1602,21r01a7238,1041,53.68%
12,21r01a66c7,cmrit25_21r01a66c7,917,21r01a66c7,202,53,21r01a66c7,1259,deepikachowdar,1351,21r01a66c7,477,51.85%
13,21r01a0524,21r01a0524,858,21r01a0524,178,282,21r01a0524,1489,akshaya_42,1147,21r01a0524,45,50.51%
14,21r01a0531,cmrit25_21r01a0531,876,21r01a0531,229,18,21r01a0531,1428,meg_21r01a0531,1317,21r01a0531,207,49.80%
15,21r01a05f9,cmrit25_21r01a05f9,908,sanjana_54,208,56,sanjana_54,1386,sanjana_54,1353,21r01a05f9,123,49.39%
16,22r05a7302,22r05a7302,927,22r05a7302,118,216,22r05a7302,1464,charanteja45,1335,22r05a7302,169,49.38%
17,21r01a6775,cmrit25_21r01a6775,955,21r01a6775,176,0,21r01a6775,1441,cmr_21r016775,1474,21r01a6775,97,48.16%
18,21r01a66a1,cmrit25_21r01a66a1,873,21r01aspay,201,2,cmr_21r01a66a1,1470,cmr_21r01a66a1,1419,21r01a66a1,139,48.06%
19,21r01a05d3,cmrit25_21r01a05d3,841,21r01a05d3,152,41,21r01a05d3,1398,edith3000,1319,21r01a05d3,456,47.63%
20,21r01a7345,cmrit25_21r01a7345,1134,cmr_21r01a7345,120,29,cmr_21r01a7345,1550,cmr_21r01a7345,1073,21r01a7345,71,47.43%
21,21r01a67b2,21r01a67b2,906,21r01awke4,200,0,21r01a67b2,1482,harsha67b2,1395,21r01a67b2,10,47.33%
22,21r01a0548,cmrit25_21r01a0548,898,varshitha613,127,58,varshitha_77,1427,varshitha_77,1385,21r01a0548,320,47.13%
23,21r01a67g1,cmrit25_21r01a67g1,932,21r01a67g1_harishh,130,0,21r01a67g1,1456,harish_1333,1365,21r01a67g1,335,46.85%
24,21r01a05h0,cmrit25_21r01a05h0,884,21r01a05h0,202,2,21r01a05h0,1430,gowtham_sagar7,1395,21r01a05h0,20,46.82%
25,22r05a0505,cmrit25_22r05a0505,728,cmrit_22r05a0505,246,16,22r05a0505,1516,praveen784,1265,22r05a0505,85,46.55%
26,21r01a6632,cmrit25_21r01a6632,867,21r016632,172,0,21r01a6632,1297,manishkumar_11,1137,21r01a6632,436,46.41%
27,21r01a67e6,cmrit25_21r01a67e6,984,21r01a67e6,0,6,21r01a67e6,1557,r_21r01a67e6,1429,21r01a67e6,796,46.41%
28,21r01a0599,cmrit25_21r01a0599,855,sayeem,222,6,mdsayeem,1363,sayeem01,1240,21r01a0599,35,46.19%
29,21r01a0441,21r01a0441,1039,21r01a0441,137,2,21r01a0441,1450,sunil441,1191,21r01a0441,97,46.14%
30,21r01a05h2,cmrit25_21r01a05h2,923,21r01aymik,169,2,21r01a05h2,1423,cmr_21r01a05h2,1405,rakeshpadamatin1,30,45.97%
31,21r01a0504,cmrit25_21r01a0504,756,21r01a0504,239,6,21r01a0504,1392,madhusudhan04,1333,21r01a0504,45,45.86%
32,21r01a05k8,cmrit25_21r01a05k8,827,21r01a05k8,197,16,21r01a05k8,1363,srujan_20,1439,21r01a05k8,40,45.76%
33,21r01a66c6,cmrit25_21r01a66c6,844,21r01a66c6,129,14,varshiniguptha66c6,1401,varshiniguptha,1242,21r01a66c6,419,44.99%
34,21r01a66a8,cmrit25_21r01a66a8,874,21r01a3yvp,139,51,raju_9,1446,raju_2003,1295,21r01a66a8,142,44.96%
35,22r05a6702,cmrit25_22r05a6702,814,praneeth702,191,39,22r05a6702,1227,praneeth702,1446,22r05a6702,23,44.79%
36,21r01a67e2,cmrit25_21r01a67e2,904,21r01a67e2,60,10,21r01a67e2,1380,raghavendra24,1220,21r01a67e2,661,44.47%
